Name,Solar System,Galactic Location,Location Type
Ilum,Ilum System,Unknown Regions,Planet - Ice
Naboo,Naboo System,Mid Rim region,Planet - Temperate
Dagobah,Dagobah System,Outer Rim region,Planet - Swamp
Weik,Weik System,Wild Space,planet - Temperate
Lothal,Lothal System,Outer Rim region,Planet - Semi-arid
Bardotta,Bardottan System,Colonies region,Planet - Temperate
Auratera,Auratera System,Outer Rim region,Planet - Temperate
Aleen,Aleen System,Mid Rim region,Planet - Underground
Devaron,Devaron System,Colonies region,Planet - Jungle
Empress Teta,Empress Teta System,Deep Core region,Planet - Urban
Ossus,Adega system,Outer Rim region,planet - Barren
Jedi Temple I,Ilum System,Unknown Regions,Temple - Jedi
Dagobah Tree Cave,Dagobah System,Outer Rim region,Cave - Vergence
